time,color,angle
24768,48,10
24808,53,10
24851,49,10
24896,42,10
24939,38,-10
24979,33,-10
25019,29,-10
25059,30,-10
25099,39,-10
25139,43,10
25180,45,10
25224,46,10
25265,43,10
25306,37,-10
25347,34,-10
25387,31,-10
25427,36,-10
25467,40,0
25508,44,10
25550,45,10
25590,44,10
25631,38,-10
25675,34,-10
25719,32,-10
25761,38,-10
25805,43,10
25846,48,10
25887,51,10
25929,49,10
25969,45,10
26009,42,10
26050,39,-10
26090,36,-10
26131,29,-10
26175,36,-10
26216,39,-10
26257,47,10
26299,50,10
26339,50,10
26379,43,10
26420,41,10
26460,34,-10
26500,31,-10
26541,27,-10
26585,28,-10
26626,32,-10
26666,37,-10
26706,40,0
26746,46,10
26786,49,10
26829,51,10
26869,47,10
26915,41,10
26957,36,-10
26998,30,-10
27038,26,-10
27078,30,-10
27118,37,-10
27158,40,0
27198,44,10
27238,47,10
27278,48,10
27319,45,10
27359,38,-10
27400,34,-10
27441,29,-10
27485,37,-10
27526,46,10
27567,49,10
27607,50,10
27651,44,10
27693,41,10
27737,37,-10
27779,30,-10
27820,26,-10
27861,31,-10
27905,35,-10
27946,42,10
27987,44,10
28028,46,10
28069,45,10
28111,37,-10
28151,34,-10
28194,32,-10
28236,36,-10
28277,41,10
28318,45,10
28358,47,10
28398,45,10
28438,38,-10
28479,35,-10
28519,32,-10
28559,35,-10
28600,42,10
28645,46,10
28686,48,10
28726,45,10
28766,41,10
28806,37,-10
28848,33,-10
