FOT,Random,RF,PR,BC_det,BC_det,BC_det,BC_nondet,BC_nondet,BC_nondet,GAIL_det_ppo,GAIL_det_ppo,GAIL_det_ppo,GAIL_nondet_ppo,GAIL_nondet_ppo,GAIL_nondet_ppo,BCxGAIL_det_ppo,BCxGAIL_det_ppo,BCxGAIL_det_ppo,BCxGAIL_nondet_ppo,BCxGAIL_nondet_ppo,BCxGAIL_nondet_ppo,
-0.4439232349395752,-0.4439232349395752,-0.4439232349395752,-0.4439232349395752,-0.4439232349395752,-0.4439232349395752,-0.4439232349395752,-0.4439232349395752,-0.4439232349395752,-0.4439232349395752,-0.4439232349395752,-0.4439232349395752,-0.4439232349395752,-0.4439232349395752,-0.4439232349395752,-0.4439232349395752,-0.4439232349395752,-0.4439232349395752,-0.4439232349395752,-0.4439232349395752,-0.4439232349395752,-0.4439232349395752,
-0.44477611780166626,-0.44477611780166626,-0.44477611780166626,-0.44477611780166626,-0.44477611780166626,-0.44477611780166626,-0.44477611780166626,-0.44477611780166626,-0.44477611780166626,-0.44477611780166626,-0.44477611780166626,-0.44477611780166626,-0.44477611780166626,-0.44477611780166626,-0.44477611780166626,-0.44477611780166626,-0.44477611780166626,-0.44477611780166626,-0.44477611780166626,-0.44477611780166626,-0.44477611780166626,-0.44477611780166626,
-0.4456290006637573,-0.4456290006637573,-0.4456290006637573,-0.4456290006637573,-0.4456290006637573,-0.4456290006637573,-0.4456290006637573,-0.4456290006637573,-0.4456290006637573,-0.4456290006637573,-0.4456290006637573,-0.4456290006637573,-0.4456290006637573,-0.4456290006637573,-0.4456290006637573,-0.4456290006637573,-0.4456290006637573,-0.4456290006637573,-0.4456290006637573,-0.4456290006637573,-0.4456290006637573,-0.4456290006637573,
-0.4507462680339813,-0.4507462680339813,-0.4507462680339813,-0.4507462680339813,-0.4507462680339813,-0.4507462680339813,-0.4507462680339813,-0.4507462680339813,-0.4507462680339813,-0.4507462680339813,-0.4507462680339813,-0.4507462680339813,-0.4507462680339813,-0.4507462680339813,-0.4507462680339813,-0.4507462680339813,-0.4507462680339813,-0.4507462680339813,-0.4507462680339813,-0.4507462680339813,-0.4507462680339813,-0.4507462680339813,
-0.4558635354042053,-0.4558635354042053,-0.4558635354042053,-0.4558635354042053,-0.4558635354042053,-0.4558635354042053,-0.4558635354042053,-0.4558635354042053,-0.4558635354042053,-0.4558635354042053,-0.4558635354042053,-0.4558635354042053,-0.4558635354042053,-0.4558635354042053,-0.4558635354042053,-0.4558635354042053,-0.4558635354042053,-0.4558635354042053,-0.4558635354042053,-0.4558635354042053,-0.4558635354042053,-0.4558635354042053,
-0.4643923342227936,-0.4643923342227936,-0.4643923342227936,-0.4643923342227936,-0.4643923342227936,-0.4643923342227936,-0.4643923342227936,-0.4643923342227936,-0.4643923342227936,-0.4643923342227936,-0.4643923342227936,-0.4643923342227936,-0.4643923342227936,-0.4643923342227936,-0.4643923342227936,-0.4643923342227936,-0.4643923342227936,-0.4643923342227936,-0.4643923342227936,-0.4643923342227936,-0.4643923342227936,-0.4643923342227936,
-0.4840085208415985,-0.4840085208415985,-0.4840085208415985,-0.4840085208415985,-0.4840085208415985,-0.4840085208415985,-0.4840085208415985,-0.4840085208415985,-0.4840085208415985,-0.4840085208415985,-0.4840085208415985,-0.4840085208415985,-0.4840085208415985,-0.4840085208415985,-0.4840085208415985,-0.4840085208415985,-0.4840085208415985,-0.4840085208415985,-0.4840085208415985,-0.4840085208415985,-0.4840085208415985,-0.4840085208415985,
-0.4942430555820465,-0.4942430555820465,-0.4942430555820465,-0.4942430555820465,-0.4942430555820465,-0.4942430555820465,-0.4942430555820465,-0.4942430555820465,-0.4942430555820465,-0.4942430555820465,-0.4942430555820465,-0.4942430555820465,-0.4942430555820465,-0.4942430555820465,-0.4942430555820465,-0.4942430555820465,-0.4942430555820465,-0.4942430555820465,-0.4942430555820465,-0.4942430555820465,-0.4942430555820465,-0.4942430555820465,
-0.4993603527545929,-0.4993603527545929,-0.4993603527545929,-0.4993603527545929,-0.4993603527545929,-0.4993603527545929,-0.4993603527545929,-0.4993603527545929,-0.4993603527545929,-0.4993603527545929,-0.4993603527545929,-0.4993603527545929,-0.4993603527545929,-0.4993603527545929,-0.4993603527545929,-0.4993603527545929,-0.4993603527545929,-0.4993603527545929,-0.4993603527545929,-0.4993603527545929,-0.4993603527545929,-0.4993603527545929,
-0.5121535062789917,-0.5121535062789917,-0.5121535062789917,-0.5121535062789917,-0.5121535062789917,-0.5121535062789917,-0.5121535062789917,-0.5121535062789917,-0.5121535062789917,-0.5121535062789917,-0.5121535062789917,-0.5121535062789917,-0.5121535062789917,-0.5121535062789917,-0.5121535062789917,-0.5121535062789917,-0.5121535062789917,-0.5121535062789917,-0.5121535062789917,-0.5121535062789917,-0.5121535062789917,-0.5121535062789917,
-0.5181236863136292,-0.5661090016365051,-0.5222686511278153,-0.5217181897977028,-0.5070392489433289,-0.504828929901123,-0.48835301399230957,-0.5497744083404541,-0.5227969288825989,-0.5130677819252014,-0.785113513469696,-0.785113513469696,-0.785113513469696,-0.9795893430709839,-0.7529176473617554,-0.7341219782829285,-0.5238820314407349,-0.515069305896759,-0.514697790145874,-0.5188984870910645,-0.5210867524147034,-0.49770092964172363,
-0.525799572467804,0.5360852479934692,-0.524707880616188,-0.5279728171874609,-0.5067917704582214,-0.505970299243927,-0.4952213168144226,-0.5221065282821655,-0.5236663818359375,-0.5178832411766052,-0.8003373146057129,-0.8003373146057129,-0.8003373146057129,-0.9563094973564148,-0.7509989738464355,-0.7436323165893555,-0.5365453362464905,-0.5224140882492065,-0.5218673944473267,-0.5081086754798889,-0.5310177206993103,-0.5278884768486023,
-0.5351812243461609,0.8967801332473755,-0.5285970145463943,-0.5318500805456878,-0.506576418876648,-0.5066684484481812,-0.5025691986083984,-0.5443221926689148,-0.5315641760826111,-0.5285947918891907,-0.806637167930603,-0.806637167930603,-0.806637167930603,-0.8906083703041077,-0.7532396912574768,-0.7549155950546265,-0.5470870137214661,-0.5290551781654358,-0.5285176038742065,-0.5351060628890991,-0.5389167070388794,-0.543203592300415,
-0.5351812243461609,0.7261779308319092,-0.5331428647041321,-0.5363672881166508,-0.5092199444770813,-0.5090703964233398,-0.5095388293266296,-0.5409666895866394,-0.5432827472686768,-0.5281830430030823,-0.8266836404800415,-0.8266836404800415,-0.8266836404800415,-0.6534914374351501,-0.7709046602249146,-0.7615232467651367,-0.5590059757232666,-0.5358628630638123,-0.5353127121925354,-0.5340991020202637,-0.5454562306404114,-0.5368725657463074,
-0.5351812243461609,-0.8729817867279053,-0.5348742097616196,-0.5461260495711997,-0.5096889138221741,-0.5105618238449097,-0.5217506289482117,-0.5621961355209351,-0.5348718166351318,-0.5375194549560547,-0.8304031491279602,-0.8304031491279602,-0.8304031491279602,-0.9358564019203186,-0.7687346339225769,-0.7658721208572388,-0.5694388151168823,-0.5427700281143188,-0.5421142578125,-0.5585811734199524,-0.5421306490898132,-0.5526511073112488,
-0.547121524810791,0.18147599697113037,-0.5407675975561141,-0.5542844260214679,-0.5144305229187012,-0.5163582563400269,-0.5305372476577759,-0.5489182472229004,-0.5535030364990234,-0.5494579076766968,-0.8415751457214355,-0.8415751457214355,-0.8415751457214355,-0.8586650490760803,-0.7894178032875061,-0.7868322730064392,-0.5809287428855896,-0.5500670671463013,-0.5495612621307373,-0.5541147589683533,-0.5562434792518616,-0.5491491556167603,
-0.5599147081375122,-0.8282556533813477,-0.5486140614748001,-0.5590657967514758,-0.5201844573020935,-0.5229929089546204,-0.5407376885414124,-0.602338433265686,-0.5528662204742432,-0.5504285097122192,-0.8454102873802185,-0.8454102873802185,-0.8454102873802185,-0.7094823718070984,-0.789970874786377,-0.7969071269035339,-0.5908694267272949,-0.5566402673721313,-0.5560002326965332,-0.5583210587501526,-0.561835527420044,-0.5408703684806824,
