,config1_kld,config2_kld,config3_kld,config4_kld,config5_kld
Random,3813.353224301238,502.4681790620418,377.1719233429555,208.8991186094489,254.30431186227992,
PR,4.787824822268185,5.774100837817466,357451794798408.1,241200826982205.16,185476568652463.44,
RF,128.25813705964558,98.865769378861,23.414692993987497,127.26682878860755,394.5939670760745,
BC_det_best_loss,323.36573456955324,220.83993479542454,432.2005009290067,9248.852564910621,22686.41678693503,
BC_det_best_eucl,988.6990634543997,420.7110911452183,579.0545042596535,2255.071384891396,3365.860510830034,
BC_det_best_dtw,567.44601507661,575.3764877728221,551.1086498762287,1214.127208741113,292604.68026206264,
BC_nondet_best_loss,7.069838849218553,5.82818104712349,7.29961931370627,1.7789999985217033,1.8592455049400343,
BC_nondet_best_eucl,8.076873570087454,9.314270472621335,5.4924437264664485,3.4837561873823253,2.004135723373969,
BC_nondet_best_dtw,3.8852448596943576,5.012771317227383,5.343442617978724,1.878129576210502,0.9322047041726087,
GAIL_det_ppo_best_loss,136.24533561251474,40241872.397964686,7133738.48316157,7610.341850899804,3455.777731602787,
GAIL_det_ppo_best_eucl,4848.062822362086,10181.952682796511,3638.259157407681,2509.876768611295,986.0526442083075,
GAIL_det_ppo_best_dtw,276.56039809139,160.94682480640546,152.9900812752754,358.72739744699817,311.54018134553934,
GAIL_nondet_ppo_best_loss,18.503685120344,21.76219112105727,16.303831971584188,17.32642700377432,11.390243490699158,
GAIL_nondet_ppo_best_eucl,666.3984195261659,125.21776512899358,53.803260520017105,128.97335452745398,31.908681995963615,
GAIL_nondet_ppo_best_dtw,19.432843713038547,14.005874228799488,15.022582063230566,12.0096617565479,7.822988337409516,
BCxGAIL_det_ppo_best_loss,77.94219207408399,166.2013526102894,94.29569311797478,127.84993558561304,3099.047974022838,
BCxGAIL_det_ppo_best_eucl,60.39348719534387,145.67393943377243,18.525603752005853,25.05937758991762,26137.62005224715,
BCxGAIL_det_ppo_best_dtw,120.95010230521737,647.033317637516,127.46888052032416,207.6516739140777,20482.38844550274,
BCxGAIL_nondet_ppo_best_loss,6.852521412288112,8.474325217070982,15.938452747917871,23.83651576644745,41.01483223390657,
BCxGAIL_nondet_ppo_best_eucl,5.547787517439696,27.71855219271477,33.52358928224004,16.981317561261775,47.100499666332254,
BCxGAIL_nondet_ppo_best_dtw,7.77178011748081,29.36584223932816,20.325862804809944,10.04328967594213,55.86553294993095,
