FOT,Random,RF,PR,BC_det,BC_det,BC_det,BC_nondet,BC_nondet,BC_nondet,GAIL_det_ppo,GAIL_det_ppo,GAIL_det_ppo,GAIL_nondet_ppo,GAIL_nondet_ppo,GAIL_nondet_ppo,BCxGAIL_det_ppo,BCxGAIL_det_ppo,BCxGAIL_det_ppo,BCxGAIL_nondet_ppo,BCxGAIL_nondet_ppo,BCxGAIL_nondet_ppo,
-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,
-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,
-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,
-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,
-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,
-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,
-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,
-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,
-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,
-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,
-0.14942528307437897,0.7710338830947876,-0.22804597668349744,-0.20426731509680163,-0.21794411540031433,-0.07251845300197601,-0.16693119704723358,-0.21898537874221802,-0.13890089094638824,-0.07589127123355865,-0.15755493938922882,-0.05109620466828346,-0.1582087278366089,0.46128708124160767,-0.08211793750524521,-0.17119567096233368,-0.2256992906332016,-0.21774138510227203,-0.20351633429527283,-0.19644969701766968,-0.17853975296020508,-0.10818109661340714,
-0.01149425283074379,0.4794114828109741,-0.1443678168579936,-0.08169092985182791,-0.13364675641059875,-0.056596916168928146,-0.11968912929296494,-0.08116191625595093,-0.09254730492830276,-0.1282036453485489,-0.05077110603451729,0.012533137574791908,-0.04894009977579117,-0.33118686079978943,0.020654650405049324,-0.08558762818574905,-0.18420995771884918,-0.17338451743125916,-0.17153899371623993,-0.1627185046672821,0.0005177818238735199,-0.09086733311414719,
0.08045977354049683,0.5894309282302856,-0.04712643761187792,-0.024161687695002043,-0.010196116752922535,-0.020139209926128387,-0.050886716693639755,0.0715232789516449,-0.16410499811172485,0.04126548022031784,0.028279326856136322,0.06761221587657928,0.03115922398865223,0.9693641662597656,0.07779537886381149,-0.008235501125454903,-0.08795203268527985,-0.07216697931289673,-0.07206796854734421,-0.09669845551252365,-0.110384501516819,0.05097482353448868,
-0.01149425283074379,0.002720475196838379,-0.027816092185676097,-0.03583037939560196,0.01668759249150753,-0.005052870139479637,-0.02813996560871601,-0.0168018601834774,-0.13971908390522003,-0.10395564883947372,0.09803840517997742,0.11733505874872208,0.10395929217338562,0.09428521990776062,0.11524958163499832,0.034977026283741,-0.03323933854699135,0.00945151038467884,-0.0035015034954994917,-0.023503435775637627,0.05100551247596741,-0.0520503968000412,
-0.14942528307437897,0.4884023666381836,-0.10712643802165984,-0.08667839888817608,-0.028433270752429962,-0.027147524058818817,-0.11884529143571854,-0.029651053249835968,-0.28352054953575134,-0.10532018542289734,0.10662994533777237,0.12936680018901825,0.11509329825639725,0.6143986582756042,0.12442120909690857,0.1300097405910492,0.041466034948825836,0.01638283208012581,-0.005751958116889,-0.10680031031370163,-0.14755398035049438,-0.13025590777397156,
-0.26436781883239746,0.22851622104644775,-0.21839080370962619,-0.1443171863480845,-0.16924737393856049,-0.04007301107048988,-0.23630034923553467,-0.16594162583351135,-0.3175104260444641,-0.22654005885124207,0.057559460401535034,0.10408686101436615,0.0665125772356987,-0.03182276338338852,0.06694594025611877,0.11146607995033264,-0.05333825200796127,-0.07587901502847672,-0.10590042173862457,-0.22941437363624573,-0.24667392671108246,-0.26396769285202026,
-0.3563218414783478,0.1358182430267334,-0.3048275825381279,-0.18859657810850713,-0.282091349363327,-0.06462854146957397,-0.33948051929473877,-0.17347268760204315,-0.32239532470703125,-0.27472829818725586,-0.02386525832116604,0.05148959904909134,-0.015753328800201416,-0.03664940968155861,-0.007167276926338673,0.09395730495452881,-0.15151771903038025,-0.1807539016008377,-0.19324840605258942,-0.300317645072937,-0.28170108795166016,-0.36154165863990784,
-0.4482758641242981,0.22401845455169678,-0.3650574690103531,-0.22155928652029372,-0.3508932292461395,-0.08397474884986877,-0.36776500940322876,-0.28978094458580017,-0.1893128603696823,-0.33520379662513733,-0.10080970823764801,0.0018048154888674617,-0.09250584244728088,-0.6317014694213867,-0.08106584846973419,-0.003335021436214447,-0.24279171228408813,-0.30046820640563965,-0.3350420892238617,-0.4244857430458069,-0.3220118284225464,-0.31521356105804443,
-0.3333333432674408,-0.6539789438247681,-0.2593103438615799,-0.2591002896259124,-0.37023669481277466,-0.10262588411569595,-0.29902762174606323,-0.2552771270275116,-0.24264369904994965,-0.38715434074401855,-0.19343243539333344,-0.06809559464454651,-0.18939420580863953,-0.35079169273376465,-0.18353137373924255,-0.24583813548088074,-0.3701624870300293,-0.38188832998275757,-0.3705883324146271,-0.2824072241783142,-0.300420343875885,-0.26737597584724426,
-0.2183908075094223,0.6349824666976929,-0.15448275972157716,-0.26046174504047515,-0.2500374913215637,-0.10173115879297256,-0.18495523929595947,-0.24960632622241974,-0.1577572077512741,-0.3110905587673187,-0.2986348569393158,-0.11858973652124405,-0.29826611280441284,0.9035878777503967,-0.29262295365333557,-0.3504977524280548,-0.43375876545906067,-0.36124277114868164,-0.30261051654815674,-0.13271254301071167,-0.1437343806028366,-0.0960334986448288,
-0.12643678486347198,-0.7440406680107117,-0.07011494394391775,-0.20124641915773306,-0.1352389007806778,-0.10169123858213425,-0.0862632691860199,-0.09827333688735962,-0.007380645722150803,-0.11139616370201111,-0.3972180187702179,-0.15842312574386597,-0.3978740870952606,-0.7575523853302002,-0.3467883765697479,-0.40611815452575684,-0.37792932987213135,-0.2709785997867584,-0.170723557472229,-0.027726590633392334,-0.17314985394477844,-0.01264175958931446,
-0.05747126415371895,0.7272589206695557,-0.037471264451742176,-0.1340352263743539,-0.064389668405056,-0.10030742734670639,-0.02080436982214451,-0.016677675768733025,-0.08791640400886536,0.060195259749889374,-0.3918604552745819,-0.1661001592874527,-0.3947359025478363,0.04291646182537079,-0.3882318437099457,-0.43780240416526794,-0.24346183240413666,-0.15178529918193817,-0.061018556356430054,0.007583712227642536,0.007042508572340012,0.0557718425989151,
-0.05747126415371895,-0.6607052087783813,-0.08942528899759054,-0.08831922710900353,-0.012270144186913967,-0.09812045097351074,0.0311004426330328,0.024865547195076942,-0.08473429828882217,0.0700925663113594,-0.3028808534145355,-0.17124249041080475,-0.30769604444503784,-0.4598904848098755,-0.3186962306499481,-0.4143545925617218,-0.1559297889471054,-0.03245129436254501,0.013440708629786968,-0.06496673822402954,-0.18063616752624512,-0.01474001444876194,
-0.12643678486347198,-0.5211179256439209,-0.17264367919415236,-0.05785738695482473,-0.07472752034664154,-0.09687858819961548,-0.019987408071756363,0.0018206052482128143,-0.3283874988555908,0.03266964107751846,-0.19303655624389648,-0.1769215166568756,-0.19802512228488922,0.23155689239501953,-0.1721646636724472,-0.2707913815975189,-0.05445340275764465,0.01500069908797741,-0.016490604728460312,-0.23699851334095,-0.1844712346792221,-0.11276669055223465,
-0.19540229439735413,0.2497009038925171,-0.257471262216568,-0.05557261293211124,-0.19922243058681488,-0.09610000997781754,-0.1508011370897293,-0.18787121772766113,-0.29439377784729004,-0.048560965806245804,-0.09898246824741364,-0.1544649451971054,-0.09981655329465866,-0.5867865085601807,-0.05284811183810234,-0.14541193842887878,-0.036703553050756454,-0.06373589485883713,-0.1020798608660698,-0.24730099737644196,-0.2232913374900818,-0.26197439432144165,
-0.28735631704330444,0.5034562349319458,-0.3420689660310745,-0.08726165087306681,-0.3154105544090271,-0.09578732401132584,-0.23622408509254456,-0.26998233795166016,-0.3144233822822571,-0.15646730363368988,-0.019647089764475822,-0.10788622498512268,-0.017377836629748344,-1.086152195930481,0.03493092209100723,-0.04422234371304512,-0.11606927961111069,-0.18708151578903198,-0.2031891644001007,-0.49902403354644775,-0.22385764122009277,-0.3260453939437866,
-0.3563218414783478,0.07048523426055908,-0.3181609150767326,-0.12957259425058176,-0.35261812806129456,-0.0959751084446907,-0.35187017917633057,-0.31357985734939575,-0.2453119158744812,-0.1581883281469345,0.05624980479478836,-0.06273563206195831,0.06065504625439644,0.5001526474952698,0.10013094544410706,0.05835432559251785,-0.24301230907440186,-0.3359806537628174,-0.32115358114242554,-0.3165958523750305,-0.2088591605424881,-0.37785258889198303,
-0.3103448152542114,0.8976831436157227,-0.2337931030243635,-0.201998007500044,-0.2620936930179596,-0.0960632860660553,-0.38349008560180664,-0.21805508434772491,-0.10026299953460693,-0.3108598291873932,0.09330778568983078,-0.03449021279811859,0.10148859024047852,-0.5802004933357239,0.11662808805704117,0.12001674622297287,-0.36083275079727173,-0.3484022319316864,-0.3609364926815033,-0.1967376470565796,-0.05025560408830643,-0.3763996362686157,
